CustomerID,FirstName,LastName,Email,Phone,StreetAddress,Apartment,City,State,ZipCode,CoinBalance,AccountBalance,DateJoined,IsActive,AutoReloadAmt
1,Ulberto,Swinburn,uswinburn0@gmpg.org,504-758-8336,95 Weeping Birch Terrace,Apt 1643,New Orleans,Louisiana,70187,419,39,2024-06-26,true,0
2,Sibel,Duval,sduval1@phpbb.com,570-246-0673,131 Glacier Hill Avenue,PO Box 40809,Wilkes Barre,Pennsylvania,18768,84,42,2024-12-05,true,0
3,Skipton,Yalden,syalden2@craigslist.org,810-990-4920,530 Burrows Hill,Room 1382,Flint,Michigan,48555,25,11,2024-07-26,true,11
4,Sanders,Keggins,skeggins3@cnet.com,314-370-9183,1038 Sheridan Crossing,PO Box 11198,Saint Louis,Missouri,63121,96,16,2025-03-30,true,0
5,Ulric,Frizzell,ufrizzell4@marriott.com,773-594-2698,81908 Lindbergh Road,Room 500,Chicago,Illinois,60624,83,14,2024-10-03,true,0
6,Elka,Keogh,ekeogh5@privacy.gov.au,720-571-1363,89 Butterfield Junction,Suite 45,Littleton,Colorado,80126,26,46,2024-11-14,true,0
7,Pietro,Renshell,prenshell6@rediff.com,571-553-1414,3 Mccormick Way,4th Floor,Vienna,Virginia,22184,60,42,2024-10-13,true,0
8,Paule,Dagworthy,pdagworthy7@jimdo.com,515-533-0394,38 Dayton Street,3rd Floor,Des Moines,Iowa,50393,77,38,2025-01-13,true,0
9,Ranique,Alpin,ralpin8@shop-pro.jp,907-516-9318,8 Meadow Valley Terrace,Room 1049,Anchorage,Alaska,99512,10,1,2025-03-19,true,0
10,Gilda,Meir,gmeir9@cbc.ca,212-338-5640,3973 Shasta Crossing,PO Box 79806,New York City,New York,10115,29,24,2025-04-03,true,0
11,Ignacius,Beckles,ibecklesa@t-online.de,214-996-5761,3 Nova Pass,Apt 1994,Dallas,Texas,75372,85,15,2024-11-13,true,0
12,Ranna,Serrell,rserrellb@shareasale.com,515-890-6249,290 Pawling Plaza,5th Floor,Des Moines,Iowa,50347,15,17,2024-09-29,true,1
13,Aldus,Bottomer,abottomerc@fda.gov,253-677-4847,5659 Lakewood Alley,5th Floor,Tacoma,Washington,98481,144,28,2024-09-16,true,0
14,Penni,Godsmark,pgodsmarkd@theglobeandmail.com,706-949-7576,23 Hansons Junction,PO Box 23161,Columbus,Georgia,31904,102,36,2024-11-15,true,0
15,Cornie,Housbey,chousbeye@uiuc.edu,571-380-9342,6 Paget Trail,15th Floor,Alexandria,Virginia,22333,48,22,2024-11-30,true,0
16,Sauncho,Keizman,skeizmanf@msu.edu,310-880-4082,9 Upham Avenue,Suite 59,Garden Grove,California,92844,228,8,2025-02-08,true,0
17,Josee,Casino,jcasinog@earthlink.net,202-617-8368,97 Birchwood Street,18th Floor,Washington,District of Columbia,20010,11,11,2024-05-17,true,0
