MethodID,CustomerID,CardType,NameOnCard,CardNumber,Expiration
1,1,Mastercard,Aigneis Brickham,5048373612897425,2029-03-06
2,2,Mastercard,Jeramey Narey,5048373283036485,2026-07-15
3,3,Mastercard,Pearl Croizier,5108758235652537,2028-10-11
4,4,Mastercard,Rudie Biddleston,5108757738144638,2029-03-06
5,5,Other,Esdras Kleinsinger,5108757401559237,2026-09-12
6,6,Visa,Creigh Mosen,5108752658334939,2027-11-27
7,7,Amex,Catie Swanson,5048376850629749,2027-09-16
8,8,Amex,Deni Fradgley,5108755162985930,2028-12-26
9,9,Amex,Brandice Ferrara,5108756094877625,2027-02-09
10,10,Amex,Jarrad Oldam,5108751025809193,2027-08-23
11,11,Other,Nike Posner,5108750421224130,2025-10-19
12,12,Mastercard,Jefferey Abbot,5108752359900632,2028-01-03
13,13,Other,Fransisco Banister,5048374092214354,2025-05-28
14,14,Amex,Candace Scollan,5048378811654055,2028-09-22
15,15,Amex,Aggie Alderman,5048374414303364,2028-09-12
16,16,Amex,Minny Widd,5108753102603606,2026-09-29
17,17,Amex,Krishnah Landy,5048372247680297,2029-04-06
18,18,Mastercard,Ginger Mendenhall,5048373417305046,2028-09-23
19,19,Amex,Juditha Pull,5048371767583857,2028-07-14
20,20,Amex,Wendi Tudbald,5108756712353132,2025-07-29
21,21,Amex,Tara Ibel,5108751908374992,2027-12-27
22,22,Mastercard,Giulia Ollerenshaw,5048379556595610,2028-02-06
23,23,Other,Pierson Adlington,5048376652139939,2026-11-16
24,24,Amex,Jessamyn Le Fevre,5048371069978219,2028-10-04
25,25,Other,Boris Casa,5108754145222891,2028-02-29
26,26,Visa,Clement Soots,5048375481886082,2025-12-26
27,27,Visa,Remus Till,5108757927509609,2028-08-15
28,28,Amex,Jedd Asser,5108759086648350,2028-06-15
29,29,Amex,Tulley Fearns,5108752942089588,2028-03-31
30,30,Other,Ebony Whinray,5108755569556466,2025-08-10
31,31,Other,Colin Gleader,5048372603289667,2028-04-04
32,32,Other,Hope Sange,5108757096088229,2027-08-18
33,33,Other,Siana Raywood,5108759987484616,2026-05-16
34,34,Amex,Rafael Ravenshaw,5108758096955151,2027-09-19
35,35,Mastercard,Nikolaos Pinnington,5108759957162630,2026-03-15
36,36,Other,Johanna Dosedale,5108751843193135,2025-08-14
37,37,Mastercard,Anya Footitt,5108753967175195,2027-04-16
38,38,Mastercard,Jeanie Klaesson,5108755750410424,2026-07-23
39,39,Amex,Dewie Haslegrave,5108755831733109,2027-08-21
40,40,Other,Ashlin Gyer,5108755736069799,2026-10-16
41,1,Mastercard,Melvin Ivankovic,5048371073030270,2025-07-08
42,2,Amex,Thorvald Glanders,5108755407145506,2028-07-20
43,3,Other,Boycey Orr,5048375240664218,2025-05-12
44,4,Mastercard,Doyle Abbs,5108758394676871,2025-05-16
45,5,Other,Kerianne Corrie,5108758450615656,2028-04-23
46,6,Other,Jeanie Insko,5048373351843424,2027-01-15
47,7,Mastercard,Bryant Leech,5108750047599394,2025-07-14
48,8,Amex,Yolande Oulett,5048378794283468,2025-06-02
49,9,Other,Rock Petel,5108751589907193,2027-02-22
50,10,Visa,Emyle Houldey,5048378613945537,2028-04-21
51,11,Mastercard,Beryle Pendrick,5048379035439174,2025-08-07
52,12,Other,Alexis Bandy,5048375591211858,2027-05-04
53,13,Visa,Teena Clementet,5108757515684269,2025-09-06
54,14,Mastercard,Anjela Antowski,5048377260240978,2027-07-10
55,15,Other,Spike Warbys,5108757380913330,2025-07-24
56,16,Other,Doro Glyn,5048375221961948,2027-12-27
57,17,Visa,Neall Muffett,5048370680552239,2025-12-20
58,18,Visa,Cece Blurton,5108756902496949,2026-10-11
59,19,Mastercard,Addie Kondrat,5108753486805314,2029-02-22
60,20,Other,Paulina Ekell,5048370855340626,2026-11-01
61,21,Other,Letta Hagland,5048371669434746,2027-08-17
62,22,Visa,Che Plews,5048371137534846,2027-12-20
63,23,Other,Emmett Ravenshaw,5108750019761832,2026-09-16
64,24,Other,Laryssa Jeaycock,5108759719344575,2025-10-02
65,25,Mastercard,Ardra Crossby,5048372261578781,2028-06-05
66,26,Mastercard,Jasmin Corpe,5048373210616672,2027-04-18
67,27,Visa,Jodee Ten Broek,5048370935185439,2025-08-22
68,28,Visa,Donetta Krug,5108753961787110,2027-09-22
69,29,Visa,Robin Loveard,5048377316327498,2028-04-14
70,30,Visa,Mischa Weedenburg,5108759984518093,2026-10-25
71,31,Mastercard,Anatollo Webland,5048371364410835,2027-10-27
72,32,Amex,Marleah Dolohunty,5108753568840221,2025-11-21
73,33,Visa,Iain Scarre,5108750818691917,2026-12-09
74,34,Visa,Hettie Estick,5048379724002267,2028-03-15
75,35,Visa,Bart Ashington,5108756689540323,2029-01-06
76,36,Other,Aluin Spurman,5048375509448527,2029-03-08
77,37,Other,Candi Steedman,5108758150797036,2027-09-04
78,38,Other,Sharl Rhoades,5048377893926621,2025-07-15
79,39,Mastercard,Doralynne Center,5048372051935803,2025-12-18
80,40,Visa,Phylys Pidgley,5048375703150853,2028-10-29
