EmployeeID,FirstName,LastName,Email,Phone,EmployeeType,StartDate,IsActive,MerchantID
1,Barnard,Dalliwatr,bdalliwatr0@altervista.org,442-308-0336,Store,2025-03-07,true,34
2,Alon,Steet,asteet1@issuu.com,181-288-4235,CafeCoin,2025-02-25,true,1
3,Sharline,Zelner,szelner2@constantcontact.com,759-989-4244,Store,2024-06-27,true,13
4,Cy,Ramey,cramey3@telegraph.co.uk,283-702-3638,CafeCoin,2024-10-04,true,1
5,Stern,Hardacre,shardacre4@ezinearticles.com,632-509-0922,Store,2025-02-13,true,33
6,Angelico,Boniface,aboniface5@t.co,415-819-7970,CafeCoin,2024-11-06,true,1
7,Daphne,Bosanko,dbosanko6@sciencedirect.com,897-155-5035,Store,2024-10-25,true,22
8,Gale,Gerling,ggerling7@disqus.com,314-381-4182,CafeCoin,2024-06-09,true,1
9,Gregoor,Gobert,ggobert8@jiathis.com,299-558-5752,Store,2024-06-05,true,37
10,Lennard,Gemlett,lgemlett9@mac.com,481-535-6303,CafeCoin,2024-10-20,true,1
11,Anna-maria,Pues,apuesa@timesonline.co.uk,291-299-0246,Store,2024-08-26,true,40
12,Atlanta,McAloren,amcalorenb@hexun.com,781-482-0903,CafeCoin,2024-11-11,true,1
13,Janine,Duffet,jduffetc@freewebs.com,583-435-4590,Store,2024-12-29,true,33
14,Hadrian,Darko,hdarkod@redcross.org,513-978-5762,CafeCoin,2024-05-31,true,1
15,Clifford,Ailward,cailwarde@oakley.com,622-586-9616,Store,2025-01-03,true,39
16,Emmye,Roskrug,eroskrugf@blog.com,561-353-3260,CafeCoin,2024-10-23,true,1
17,Miriam,Osgerby,mosgerbyg@pen.io,213-786-1182,Store,2024-10-04,true,23
18,Cass,Tanner,ctannerh@xing.com,744-335-2262,CafeCoin,2024-05-14,true,1
19,Juanita,Grimoldby,jgrimoldbyi@blogs.com,198-187-0701,Store,2025-02-07,true,31
20,Tandi,Coils,tcoilsj@histats.com,282-170-3301,CafeCoin,2024-07-07,true,1
21,Howey,Herreros,hherrerosk@i2i.jp,518-607-4196,Store,2024-07-13,true,25
22,Megen,Wellfare,mwellfarel@businessinsider.com,571-125-4706,CafeCoin,2024-06-27,true,1
23,Flem,Munkley,fmunkleym@livejournal.com,398-606-8462,Store,2025-01-21,true,5
24,Rab,Walenta,rwalentan@t.co,639-608-0281,CafeCoin,2024-09-11,true,1
