LeadId,AssignedToEmp,BusinessName,OwnerFirst,OwnerLast,Email,PhoneNumber,Address,Website,Status,Notes,LastCOntactedAt
1,75,Feedbug,Jarad,Weyland,jweyland0@hud.gov,411-660-0910,423 Walton Alley,http://shinystat.com/phasellus/id.jsp?in=in&faucibus=felis&orci=eu&luctus=sapien&et=cursus&ultrices=vestibulum&posuere=proin&cubilia=eu&curae=mi&mauris=nulla&viverra=ac&diam=enim&vitae=in&quam=tempor&suspendisse=turpis&potenti=nec&nullam=euismod&porttitor=scelerisque&lacus=quam&at=turpis&turpis=adipiscing&donec=lorem&posuere=vitae&metus=mattis&vitae=nibh&ipsum=ligula&aliquam=nec&non=sem&mauris=duis&morbi=aliquam&non=convallis&lectus=nunc&aliquam=proin&sit=at&amet=turpis&diam=a&in=pede&magna=posuere&bibendum=nonummy&imperdiet=integer&nullam=non&orci=velit&pede=donec&venenatis=diam&non=neque&sodales=vestibulum&sed=eget&tincidunt=vulputate&eu=ut&felis=ultrices&fusce=vel&posuere=augue&felis=vestibulum&sed=ante&lacus=ipsum,Negotiating,Passed along to partner,4/16/2024
2,4,Gabspot,Nessa,McMurty,nmcmurty1@weebly.com,260-462-2012,87 Declaration Parkway,http://hostgator.com/pellentesque/volutpat/dui/maecenas/tristique/est.json?nibh=fusce&in=posuere&hac=felis&habitasse=sed&platea=lacus&dictumst=morbi&aliquam=sem&augue=mauris&quam=laoreet&sollicitudin=ut&vitae=rhoncus&consectetuer=aliquet&eget=pulvinar&rutrum=sed&at=nisl&lorem=nunc&integer=rhoncus&tincidunt=dui&ante=vel&vel=sem&ipsum=sed&praesent=sagittis&blandit=nam&lacinia=congue&erat=risus&vestibulum=semper&sed=porta&magna=volutpat&at=quam&nunc=pede&commodo=lobortis&placerat=ligula&praesent=sit&blandit=amet&nam=eleifend&nulla=pede&integer=libero&pede=quis&justo=orci&lacinia=nullam&eget=molestie&tincidunt=nibh&eget=in&tempus=lectus&vel=pellentesque&pede=at&morbi=nulla&porttitor=suspendisse&lorem=potenti&id=cras&ligula=in&suspendisse=purus&ornare=eu&consequat=magna&lectus=vulputate&in=luctus&est=cum&risus=sociis&auctor=natoque&sed=penatibus&tristique=et&in=magnis&tempus=dis&sit=parturient,Negotiating,Shared use case,3/14/2025
3,77,Twiyo,Myles,Binton,mbinton2@google.co.jp,103-827-6275,49 Dahle Avenue,https://tripod.com/blandit/ultrices.png?cras=nisl&mi=nunc&pede=rhoncus&malesuada=dui&in=vel&imperdiet=sem&et=sed&commodo=sagittis&vulputate=nam&justo=congue&in=risus&blandit=semper&ultrices=porta&enim=volutpat&lorem=quam&ipsum=pede&dolor=lobortis&sit=ligula&amet=sit&consectetuer=amet&adipiscing=eleifend&elit=pede&proin=libero,In Review,Wants more examples,1/20/2024
4,78,Jabbertype,Colly,Sarson,csarson3@miibeian.gov.cn,169-897-8221,3564 Amoth Way,https://gov.uk/mi/nulla.aspx?cras=felis&in=donec&purus=semper&eu=sapien&magna=a&vulputate=libero&luctus=nam&cum=dui&sociis=proin&natoque=leo&penatibus=odio&et=porttitor&magnis=id&dis=consequat&parturient=in&montes=consequat&nascetur=ut&ridiculus=nulla&mus=sed&vivamus=accumsan&vestibulum=felis&sagittis=ut&sapien=at&cum=dolor&sociis=quis&natoque=odio&penatibus=consequat&et=varius&magnis=integer&dis=ac,Contacted,Not a fit for now,1/6/2023
5,16,Buzzster,Carey,Sapena,csapena4@spiegel.de,668-312-1596,07212 Hollow Ridge Pass,https://wiley.com/vulputate/ut/ultrices/vel/augue/vestibulum/ante.html?sollicitudin=a&mi=pede&sit=posuere&amet=nonummy&lobortis=integer&sapien=non&sapien=velit&non=donec&mi=diam&integer=neque&ac=vestibulum&neque=eget&duis=vulputate&bibendum=ut&morbi=ultrices&non=vel&quam=augue&nec=vestibulum&dui=ante&luctus=ipsum&rutrum=primis&nulla=in&tellus=faucibus&in=orci&sagittis=luctus&dui=et&vel=ultrices&nisl=posuere&duis=cubilia&ac=curae&nibh=donec&fusce=pharetra&lacus=magna&purus=vestibulum&aliquet=aliquet&at=ultrices&feugiat=erat&non=tortor&pretium=sollicitudin&quis=mi&lectus=sit&suspendisse=amet&potenti=lobortis&in=sapien&eleifend=sapien&quam=non&a=mi&odio=integer&in=ac&hac=neque&habitasse=duis&platea=bibendum&dictumst=morbi&maecenas=non&ut=quam&massa=nec&quis=dui&augue=luctus&luctus=rutrum&tincidunt=nulla&nulla=tellus&mollis=in&molestie=sagittis&lorem=dui&quisque=vel&ut=nisl&erat=duis&curabitur=ac&gravida=nibh&nisi=fusce&at=lacus&nibh=purus&in=aliquet&hac=at&habitasse=feugiat&platea=non&dictumst=pretium&aliquam=quis&augue=lectus&quam=suspendisse&sollicitudin=potenti&vitae=in&consectetuer=eleifend&eget=quam&rutrum=a,Closed Lost,Interested in free trial,12/17/2024
6,5,Feedfire,Delores,Nijs,dnijs5@netlog.com,616-463-1046,52 Glacier Hill Road,https://sphinn.com/parturient/montes/nascetur/ridiculus.jpg?consequat=nam&in=congue&consequat=risus&ut=semper&nulla=porta&sed=volutpat&accumsan=quam&felis=pede&ut=lobortis&at=ligula&dolor=sit&quis=amet&odio=eleifend&consequat=pede&varius=libero&integer=quis&ac=orci&leo=nullam&pellentesque=molestie&ultrices=nibh&mattis=in&odio=lectus&donec=pellentesque&vitae=at&nisi=nulla&nam=suspendisse&ultrices=potenti&libero=cras&non=in&mattis=purus&pulvinar=eu&nulla=magna&pede=vulputate&ullamcorper=luctus,Contacted,Needs executive buy-in,10/24/2024
7,74,Vitz,Alta,Tremelling,atremelling6@google.nl,181-128-3594,3 Hagan Alley,http://github.io/cum/sociis.png?dictumst=faucibus&morbi=accumsan&vestibulum=odio&velit=curabitur&id=convallis&pretium=duis&iaculis=consequat&diam=dui&erat=nec&fermentum=nisi&justo=volutpat&nec=eleifend&condimentum=donec&neque=ut&sapien=dolor&placerat=morbi&ante=vel&nulla=lectus&justo=in&aliquam=quam&quis=fringilla&turpis=rhoncus&eget=mauris&elit=enim&sodales=leo&scelerisque=rhoncus&mauris=sed&sit=vestibulum&amet=sit&eros=amet&suspendisse=cursus&accumsan=id&tortor=turpis&quis=integer&turpis=aliquet&sed=massa&ante=id&vivamus=lobortis&tortor=convallis&duis=tortor&mattis=risus&egestas=dapibus&metus=augue&aenean=vel&fermentum=accumsan&donec=tellus&ut=nisi&mauris=eu&eget=orci&massa=mauris&tempor=lacinia&convallis=sapien&nulla=quis&neque=libero&libero=nullam&convallis=sit&eget=amet&eleifend=turpis,Contacted,Not the right time,7/14/2024
8,71,Latz,Lesly,Tharme,ltharme7@cpanel.net,850-724-8655,3677 Manufacturers Place,http://mediafire.com/ultrices/phasellus/id/sapien/in/sapien.jsp?lacinia=tortor&eget=id&tincidunt=nulla&eget=ultrices&tempus=aliquet&vel=maecenas&pede=leo&morbi=odio&porttitor=condimentum&lorem=id&id=luctus&ligula=nec&suspendisse=molestie&ornare=sed&consequat=justo&lectus=pellentesque&in=viverra&est=pede&risus=ac&auctor=diam&sed=cras&tristique=pellentesque&in=volutpat&tempus=dui&sit=maecenas&amet=tristique&sem=est&fusce=et&consequat=tempus&nulla=semper&nisl=est&nunc=quam&nisl=pharetra&duis=magna&bibendum=ac&felis=consequat&sed=metus&interdum=sapien&venenatis=ut&turpis=nunc&enim=vestibulum&blandit=ante&mi=ipsum&in=primis&porttitor=in&pede=faucibus&justo=orci&eu=luctus&massa=et&donec=ultrices&dapibus=posuere&duis=cubilia&at=curae&velit=mauris&eu=viverra&est=diam&congue=vitae&elementum=quam&in=suspendisse&hac=potenti&habitasse=nullam&platea=porttitor&dictumst=lacus&morbi=at&vestibulum=turpis&velit=donec&id=posuere&pretium=metus&iaculis=vitae&diam=ipsum&erat=aliquam&fermentum=non&justo=mauris&nec=morbi&condimentum=non&neque=lectus&sapien=aliquam&placerat=sit&ante=amet&nulla=diam&justo=in&aliquam=magna,In Review,Discussed competitor,6/30/2023
9,40,Yacero,Raffaello,Putterill,rputterill8@reference.com,397-249-3273,91 Mcguire Crossing,https://istockphoto.com/nunc/rhoncus/dui/vel/sem/sed.html?duis=in&ac=hac&nibh=habitasse&fusce=platea&lacus=dictumst&purus=aliquam&aliquet=augue&at=quam&feugiat=sollicitudin&non=vitae&pretium=consectetuer&quis=eget&lectus=rutrum&suspendisse=at&potenti=lorem&in=integer&eleifend=tincidunt&quam=ante&a=vel,Negotiating,Sent proposal,1/13/2025
10,64,Talane,Iolanthe,Eatttok,ieatttok9@ning.com,611-786-7362,6 Pankratz Circle,http://canalblog.com/urna/pretium/nisl.jpg?odio=penatibus&condimentum=et&id=magnis&luctus=dis&nec=parturient&molestie=montes&sed=nascetur&justo=ridiculus&pellentesque=mus&viverra=etiam&pede=vel&ac=augue&diam=vestibulum&cras=rutrum&pellentesque=rutrum&volutpat=neque&dui=aenean&maecenas=auctor,Closed Lost,Requested pricing info,7/28/2024
