EmployeeID,FirstName,LastName,Email,Phone,EmployeeType,StartDate,IsActive,MerchantID
1,Barnard,Dalliwatr,bdalliwatr0@altervista.org,442-308-0336,Store,2007-2025-03,1,34
2,Alon,Steet,asteet1@issuu.com,181-288-4235,CafeCoin,2025-2025-02,1,1
3,Sharline,Zelner,szelner2@constantcontact.com,759-989-4244,Store,2027-2024-06,1,13
4,Cy,Ramey,cramey3@telegraph.co.uk,283-702-3638,CafeCoin,2004-2024-10,1,1
5,Stern,Hardacre,shardacre4@ezinearticles.com,632-509-0922,Store,2013-2025-02,1,33
6,Angelico,Boniface,aboniface5@t.co,415-819-7970,CafeCoin,2006-2024-11,1,1
7,Daphne,Bosanko,dbosanko6@sciencedirect.com,897-155-5035,Store,2025-2024-10,1,22
8,Gale,Gerling,ggerling7@disqus.com,314-381-4182,CafeCoin,2009-2024-06,1,1
9,Gregoor,Gobert,ggobert8@jiathis.com,299-558-5752,Store,2005-2024-06,1,37
10,Lennard,Gemlett,lgemlett9@mac.com,481-535-6303,CafeCoin,2020-2024-10,1,1
11,Anna-maria,Pues,apuesa@timesonline.co.uk,291-299-0246,Store,2026-2024-08,1,40
12,Atlanta,McAloren,amcalorenb@hexun.com,781-482-0903,CafeCoin,2011-2024-11,1,1
13,Janine,Duffet,jduffetc@freewebs.com,583-435-4590,Store,2029-2024-12,1,33
14,Hadrian,Darko,hdarkod@redcross.org,513-978-5762,CafeCoin,2031-2024-05,1,1
15,Clifford,Ailward,cailwarde@oakley.com,622-586-9616,Store,2003-2025-01,1,39
16,Emmye,Roskrug,eroskrugf@blog.com,561-353-3260,CafeCoin,2023-2024-10,1,1
17,Miriam,Osgerby,mosgerbyg@pen.io,213-786-1182,Store,2004-2024-10,1,23
18,Cass,Tanner,ctannerh@xing.com,744-335-2262,CafeCoin,2014-2024-05,1,1
19,Juanita,Grimoldby,jgrimoldbyi@blogs.com,198-187-0701,Store,2007-2025-02,1,31
20,Tandi,Coils,tcoilsj@histats.com,282-170-3301,CafeCoin,2007-2024-07,1,1
21,Howey,Herreros,hherrerosk@i2i.jp,518-607-4196,Store,2013-2024-07,1,25
22,Megen,Wellfare,mwellfarel@businessinsider.com,571-125-4706,CafeCoin,2027-2024-06,1,1
23,Flem,Munkley,fmunkleym@livejournal.com,398-606-8462,Store,2021-2025-01,1,5
24,Rab,Walenta,rwalentan@t.co,639-608-0281,CafeCoin,2011-2024-09,1,1
25,Alister,Broseman,abrosemano@unblog.fr,386-895-2261,Store,2020-2024-05,1,19
26,Carlita,Harman,charmanp@cornell.edu,759-347-5482,CafeCoin,2016-2025-01,1,1
27,Cornell,Neil,cneilq@yale.edu,285-124-6425,Store,2021-2024-09,0,36
28,Lissi,Snazel,lsnazelr@yahoo.com,108-464-3101,CafeCoin,2015-2024-10,1,1
29,Calli,Cometto,ccomettos@omniture.com,265-889-7375,Store,2002-2024-10,1,16
30,Lindsay,Pideon,lpideont@amazon.com,240-406-5874,CafeCoin,2014-2024-08,1,1
31,Sumner,McCready,smccreadyu@blog.com,313-110-7114,Store,2010-2024-09,1,30
