LeadId,AssignedToEmp,BusinessName,OwnerFirst,OwnerLast,Email,PhoneNumber,StreetAddress,Website,Status,Notes,LastCOntactedAt
1,75,Feedbug,Jarad,Weyland,jweyland0@hud.gov,411-660-0910,423 Walton Alley,http://shinystat.com/phasellus/id.jsp?in=in&faucibus=felis&orci=eu&luctus=sapien&et=cursus&ultrices=vestibulum&posuere=proin&cubilia=eu&curae=mi&mauris=nulla&viverra=ac&diam=enim&vitae=in&quam=tempor&suspendisse=turpis&potenti=nec&nullam=euismod&porttitor,Negotiating,Passed along to partner,2024-04-16
2,4,Gabspot,Nessa,McMurty,nmcmurty1@weebly.com,260-462-2012,87 Declaration Parkway,http://hostgator.com/pellentesque/volutpat/dui/maecenas/tristique/est.json?nibh=fusce&in=posuere&hac=felis&habitasse=sed&platea=lacus&dictumst=morbi&aliquam=sem&augue=mauris&quam=laoreet&sollicitudin=ut&vitae=rhoncus&consectetuer=aliquet&eget=pulvinar&rut,Negotiating,Shared use case,2025-03-14
3,77,Twiyo,Myles,Binton,mbinton2@google.co.jp,103-827-6275,49 Dahle Avenue,https://tripod.com/blandit/ultrices.png?cras=nisl&mi=nunc&pede=rhoncus&malesuada=dui&in=vel&imperdiet=sem&et=sed&commodo=sagittis&vulputate=nam&justo=congue&in=risus&blandit=semper&ultrices=porta&enim=volutpat&lorem=quam&ipsum=pede&dolor=lobortis&sit=ligu,In Review,Wants more examples,2024-01-20
4,78,Jabbertype,Colly,Sarson,csarson3@miibeian.gov.cn,169-897-8221,3564 Amoth Way,https://gov.uk/mi/nulla.aspx?cras=felis&in=donec&purus=semper&eu=sapien&magna=a&vulputate=libero&luctus=nam&cum=dui&sociis=proin&natoque=leo&penatibus=odio&et=porttitor&magnis=id&dis=consequat&parturient=in&montes=consequat&nascetur=ut&ridiculus=nulla&mus,Contacted,Not a fit for now,2023-01-06
5,16,Buzzster,Carey,Sapena,csapena4@spiegel.de,668-312-1596,07212 Hollow Ridge Pass,https://wiley.com/vulputate/ut/ultrices/vel/augue/vestibulum/ante.html?sollicitudin=a&mi=pede&sit=posuere&amet=nonummy&lobortis=integer&sapien=non&sapien=velit&non=donec&mi=diam&integer=neque&ac=vestibulum&neque=eget&duis=vulputate&bibendum=ut&morbi=ultri,Closed Lost,Interested in free trial,2024-12-17
6,5,Feedfire,Delores,Nijs,dnijs5@netlog.com,616-463-1046,52 Glacier Hill Road,https://sphinn.com/parturient/montes/nascetur/ridiculus.jpg?consequat=nam&in=congue&consequat=risus&ut=semper&nulla=porta&sed=volutpat&accumsan=quam&felis=pede&ut=lobortis&at=ligula&dolor=sit&quis=amet&odio=eleifend&consequat=pede&varius=libero&integer=qu,Contacted,Needs executive buy-in,2024-10-24
7,74,Vitz,Alta,Tremelling,atremelling6@google.nl,181-128-3594,3 Hagan Alley,http://github.io/cum/sociis.png?dictumst=faucibus&morbi=accumsan&vestibulum=odio&velit=curabitur&id=convallis&pretium=duis&iaculis=consequat&diam=dui&erat=nec&fermentum=nisi&justo=volutpat&nec=eleifend&condimentum=donec&neque=ut&sapien=dolor&placerat=morb,Contacted,Not the right time,2024-07-14
8,71,Latz,Lesly,Tharme,ltharme7@cpanel.net,850-724-8655,3677 Manufacturers Place,http://mediafire.com/ultrices/phasellus/id/sapien/in/sapien.jsp?lacinia=tortor&eget=id&tincidunt=nulla&eget=ultrices&tempus=aliquet&vel=maecenas&pede=leo&morbi=odio&porttitor=condimentum&lorem=id&id=luctus&ligula=nec&suspendisse=molestie&ornare=sed&conseq,In Review,Discussed competitor,2023-06-30
9,40,Yacero,Raffaello,Putterill,rputterill8@reference.com,397-249-3273,91 Mcguire Crossing,https://istockphoto.com/nunc/rhoncus/dui/vel/sem/sed.html?duis=in&ac=hac&nibh=habitasse&fusce=platea&lacus=dictumst&purus=aliquam&aliquet=augue&at=quam&feugiat=sollicitudin&non=vitae&pretium=consectetuer&quis=eget&lectus=rutrum&suspendisse=at&potenti=lore,Negotiating,Sent proposal,2025-01-13
10,64,Talane,Iolanthe,Eatttok,ieatttok9@ning.com,611-786-7362,6 Pankratz Circle,http://canalblog.com/urna/pretium/nisl.jpg?odio=penatibus&condimentum=et&id=magnis&luctus=dis&nec=parturient&molestie=montes&sed=nascetur&justo=ridiculus&pellentesque=mus&viverra=etiam&pede=vel&ac=augue&diam=vestibulum&cras=rutrum&pellentesque=rutrum&volu,Closed Lost,Requested pricing info,2024-07-28
